,gauge_number,gauge_name
136,540,Willow Beach Access Road Upper Flasher (NPS) (unknown type)
137,546,Willow Beach Access Road Upper Flasher (NPS) (unknown type)
138,547,Willow Beach Access Road Upper Flasher (NPS) (unknown type)
139,548,Willow Beach Access Road Upper Flasher (NPS) BATT (unknown type)
140,770,Virgin River above the Narrows WL (USGS) (unknown type)
141,771,Virgin River above the Narrows Discharge (USGS) (unknown type)
142,1000,NPS Base Station (NPS) (unknown type)
143,1500,Cherum Peak (Mohave County) RAIN (Rain)
144,1501,Golden Valley RAIN (Mohave County) (Rain)
145,1502,North Golden Valley RAIN (Mohave County) (Rain)
146,1503,Mud Spring (Mohave County) (Rain)
147,1506,Upper Lime Mountain (Mohave County) RAIN (Rain)
148,1507,Pahcoon Flat (Mohave County) RAIN (Rain)
149,1508,Bull Valley Mtns RAIN (Mohave County) (Rain)
150,1510,Catclaw Canyon WL (Mohave County) (Water Level)
151,1515,Sunrise Vistas (Mohave County) RAIN (Rain)
152,1520,Upper Sacramento Wash (Mohave County) RAIN (Rain)
153,1524,Hardy Mountain (Mohave County) RAIN (Rain)
154,1525,Punto de Vista (Mohave County) RAIN (Rain)
155,1528,Punto de Vista (Mohave County) WL (Water Level)
156,1530,Willow Springs Rain (Mohave County) RAIN (Rain)
157,1535,White Hills Precipitation (Mohave County) RAIN (Rain)
158,1538,Cerbat Landfill (Mohave County) WD (Wind Direction)
159,1539,Cerbat Landfill (Mohave County) WS (Wind Speed)
160,1540,Cerbat Landfill (Mohave County) RAIN (Rain)
161,1556,Tufa (Mohave County) RAIN (Rain)
162,1565,Mesquite Creek (Mohave County) RAIN (Rain)
163,1568,Hualapai Mtn (Mohave County) WD (Wind Direction)
164,1569,Hualapai Mtn (Mohave County) SPD (Wind Speed)
165,1570,Hualapai Mtn (Mohave County) RAIN (Rain)
166,1571,Hualapai Mtn (Mohave County) RH (Rel. Humidity)
167,1572,Hualapai Mtn (Mohave County) TEMP (Air Temp)
168,1573,Hualapai Mtn (Mohave County) DPT (Dewpoint)
169,1576,Cerbat Landfill RH (Rel. Humidity)
170,1577,Cerbat Landfill DPT (Dewpoint)
171,1578,Cerbat Landfill TEMP (Air Temp)
172,1590,Boundary Cone (Mohave County) RAIN (Rain)
173,1604,Hurricane Cliffs (Mohave County) RAIN (Rain)
174,1610,Silver Creek Precipitation (Mohave County) RAIN (Rain)
175,1615,Big Bend Wash @ I-15 (Mohave County) RAIN (Rain)
176,1618,Big Bend Wash (Mohave County) Water Level (Water Level)
177,1620,Montana Wash (Mohave County) RAIN (Rain)
178,1623,Montana Wash (Mohave County) (Water Level)
179,1630,Detrital Wash @ SR93 (Mohave County) RAIN (Rain)
180,1633,Detrital Wash @ SR93 (Mohave County) WL (Water Level)
181,1640,El Rodeo Wash (Mohave County) RAIN (Rain)
182,1645,Motoqua (Mohave County) RAIN (Rain)
183,1648,Motoqua (Mohave County) WL (Water Level)
184,1649,Lost Cabin Springs (Mohave County) RAIN (Rain)
185,1655,Quail Run (Mohave County) RAIN (Rain)
186,1658,Quail Run (Mohave County) WL (Water Level)
187,1668,Kingman (Mohave County) WD (Wind Direction)
188,1669,Kingman (Mohave County) SPD (Wind Speed)
189,1670,Kingman (Mohave County) RAIN (Rain)
190,1671,Kingman (Mohave County) RH (Rel. Humidity)
191,1672,Kingman (Mohave County) TEMP (Air Temp)
192,1673,Kingman (Mohave County) DPT (Dewpoint)
193,1678,Mohave Valley (Mohave County) Wind Direction (Wind Direction)
194,1679,Mohave Valley (Mohave County) Wind Speed (Wind Speed)
195,1680,Mohave Valley (Mohave County) RAIN (Rain)
196,1681,Mohave Valley (Mohave County) RH (Rel. Humidity)
197,1682,Mohave Valley (Mohave County) TEMP (Air Temp)
198,1683,Mohave Valley (Mohave County) DPT (Dewpoint)
199,1695,Cave Spring (Mohave County) RAIN (Rain)
200,2181,Mt Potosi 5052 (HL) Battery Voltage (unknown type)
201,2219,Angel Peak 5052 (HL) Battery Voltage (unknown type)
202,2322,Spirit Mountain
203,2564,Mesquite 1 RAIN (Rain)
204,2574,Town Wash RAIN (Rain)
205,2580,Mesquite Airport WD (Wind Direction)
206,2581,Mesquite Airport SPD (Wind Speed)
207,2582,Mesquite Airport DPT (Dewpoint)
208,2584,Mesquite Airport RAIN (Rain)
209,2585,Mesquite Airport RH (Rel. Humidity)
210,2586,Mesquite Airport TEMP (Air Temp)
211,2591,Town Wash DB BATT (unknown type)
212,2592,Town Wash DB Radar WL (Water Level)
213,2593,Town Wash DB Shaft Enc WL (Water Level)
214,2594,Town Wash DB RAIN (Rain)
215,2597,Town Wash Channel BATT (unknown type)
216,2598,Town Wash Channel WL (Water Level)
217,2599,Town Wash Channel RAIN (Rain)
218,2664,Mesquite 2 RAIN (Rain)
219,2672,Pulsipher Wash DB BATT (unknown type)
220,2673,Pulsipher Wash DB WL (Water Level)
221,2674,Pulsipher Wash DB RAIN (Rain)
222,2683,Abbott Wash DB WL (Water Level)
223,2684,Abbott Wash DB RAIN (Rain)
224,2693,Abbott Wash Channel WL (Water Level)
225,2694,Abbott Wash Channel RAIN (Rain)
226,2750,Bunkerville DIR (Wind Direction)
227,2751,Bunkerville SPD (Wind Speed)
228,2752,Bunkerville DPT (Dewpoint)
229,2754,Bunkerville RAIN (Rain)
230,2755,Bunkerville RH (Rel. Humidity)
231,2756,Bunkerville TEMP (Air Temp)
232,2782,Windmill Wash DB BATT (unknown type)
233,2783,Windmill Wash DB WL (Water Level)
234,2784,Windmill Wash DB RAIN (Rain)
235,3034,Halfway Wash RAIN (Rain)
236,3044,Mormon Mesa 1 RAIN (Rain)
237,3064,Weiser Wash RAIN (Rain)
238,3109,California Wash 4 DIR (Wind Direction)
239,3110,California Wash 4 PK WND (Peak Wind)
240,3111,California Wash 4 SPD (Wind Speed)
241,3112,California Wash 4 DPT (Dewpoint)
242,3113,California Wash 4 BATT (unknown type)
243,3114,California Wash 4 RAIN (Rain)
244,3115,California Wash 4 RH (Rel. Humidity)
245,3116,California Wash 4 TEMP (Air Temp)
246,3119,Moapa SW 3 DIR (Wind Direction)
247,3120,Moapa SW 3 PK WND (Peak Wind)
248,3121,Moapa SW 3 SPD (Wind Speed)
249,3122,Moapa SW 3 DPT (Dewpoint)
250,3123,Moapa SW 3 BATT (unknown type)
251,3124,Moapa SW 3 RAIN (Rain)
252,3125,Moapa SW 3 RH (Rel. Humidity)
253,3126,Moapa SW 3 TEMP (Air Temp)
254,3127,Moapa SW 2 BATT (unknown type)
255,3129,Moapa SW 2 RAIN (Rain)
256,3132,Moapa SW 1 BATT (unknown type)
257,3134,Moapa SW 1 RAIN (Rain)
258,3140,California Wash 3 WD (Wind Direction)
259,3141,California Wash 3 SPD (Wind Speed)
260,3142,California Wash 3 DPT (Dewpoint)
261,3144,California Wash 3 RAIN (Rain)
262,3145,California Wash 3 RH (Rel. Humidity)
263,3146,California Wash 3 TEMP (Air Temp)
264,3164,California Wash 1 RAIN (Rain)
265,3182,California Wash 2 BATT (unknown type)
266,3183,California Wash 2 WL (Water Level)
267,3184,California Wash 2 RAIN (Rain)
268,3199,Hogan Springs Overlook WD (Wind Direction)
269,3200,Hogan Springs Overlook PK WND (Peak Wind)
270,3201,Hogan Springs Overlook SPD (Wind Speed)
271,3202,Hogan Springs Overlook DPT (Dewpoint)
272,3203,Hogan Springs Overlook BATT (unknown type)
273,3204,Hogan Springs Overlook RAIN (Rain)
274,3205,Hogan Springs Overlook RH (Rel. Humidity)
275,3206,Hogan Springs Overlook TEMP (Air Temp)
276,3209,Elbow Canyon WD (Wind Direction)
277,3210,Elbow Canyon PK WND (Peak Wind)
278,3211,Elbow Canyon SPD (Wind Speed)
279,3212,Elbow Canyon DPT (Dewpoint)
280,3213,Elbow Canyon BATT (unknown type)
281,3214,Elbow Canyon RAIN (Rain)
282,3215,Elbow Canyon RH (Rel. Humidity)
283,3216,Elbow Canyon TEMP (Air Temp)
284,3217,Segmiller Wash BATT (unknown type)
285,3219,Segmiller Wash RAIN (Rain)
286,3227,Coyote Springs DB BATT (unknown type)
287,3228,Coyote Springs DB WL (Water Level)
288,3229,Coyote Springs DB RAIN (Rain)
289,3232,Wildcat Wash
290,3234,Wildcat Wash
291,3237,Dry Gulch BATT (unknown type)
292,3239,Dry Gulch RAIN (Rain)
293,3240,Mormon Mesa 2 WD (Wind Direction)
294,3241,Mormon Mesa 2 SPD (Wind Speed)
295,3242,Mormon Mesa 2 DPT (Dewpoint)
296,3244,Mormon Mesa 2 RAIN (Rain)
297,3245,Mormon Mesa 2 RH (Rel. Humidity)
298,3246,Mormon Mesa 2 TEMP (Air Temp)
299,3250,Overton Beach WD (Wind Direction)
300,3251,Overton Beach SPD (Wind Speed)
301,3252,Overton Beach DPT (Dewpoint)
302,3254,Overton Beach RAIN (Rain)
303,3255,Overton Beach RH (Rel. Humidity)
304,3256,Overton Beach TEMP (Air Temp)
305,3260,Muddy River Moapa (USGS) BATT (unknown type)
306,3263,Muddy River Moapa (USGS) WL (Water Level)
307,3264,Muddy River Moapa (USGS) RAIN (Rain)
308,3274,Logan Wash RAIN (Rain)
309,3279,Mormon Mesa Overton RAIN (Rain)
310,3280,Silica Dome WD (Wind Direction)
311,3281,Silica Dome SPD (Wind Speed)
312,3282,Silica Dome DPT (Dewpoint)
313,3284,Silica Dome RAIN (Rain)
314,3285,Silica Dome RH (Rel. Humidity)
315,3286,Silica Dome TEMP (Air Temp)
316,3291,Overton Airport SPD (Wind Speed)
317,3292,Overton Airport DPT (Dewpoint)
318,3294,Overton Airport RAIN (Rain)
319,3295,Overton Airport RH (Rel. Humidity)
320,3296,Overton Airport TEMP (Air Temp)
321,3300,Angel Peak Repeater BATT 3300 (HS) (unknown type)
322,3301,Boulder City Repeater
323,3383,Meadow Valley Wash WL (Water Level)
324,3384,Meadow Valley Wash RAIN (Rain)
325,3618,Indian Springs DB WL (Water Level)
326,3619,Indian Springs DB RAIN (Rain)
327,3629,Indian Springs 1 WD (Wind Direction)
328,3630,Indian Springs 1 PK WND (Peak Wind)
329,3631,Indian Springs 1 SPD (Wind Speed)
330,3632,Indian Springs 1 DPT (Dewpoint)
331,3633,Indian Springs 1 BATT (unknown type)
332,3634,Indian Springs 1 RAIN (Rain)
333,3635,Indian Springs 1 RH (Rel. Humidity)
334,3636,Indian Springs 1 TEMP (Air Temp)
335,3639,Indian Springs 2 WD (Wind Direction)
336,3640,Indian Springs 2 PK WND (Peak Wind)
337,3641,Indian Springs 2 SPD (Wind Speed)
338,3642,Indian Springs 2 DPT (Dewpoint)
339,3643,Indian Springs 2 BATT (unknown type)
340,3644,Indian Springs 2 RAIN (Rain)
341,3645,Indian Springs 2 RH (Rel. Humidity)
342,3646,Indian Springs 2 TEMP (Air Temp)
343,3700,Cold Creek 1 WD (Wind Direction)
344,3701,Cold Creek 1 SPD (Wind Speed)
345,3702,Cold Creek 1 DPT (Dewpoint)
346,3704,Cold Creek 1 RAIN (Rain)
347,3705,Cold Creek 1 RH (Rel. Humidity)
348,3706,Cold Creek 1 TEMP (Air Temp)
349,3707,Lee Canyon 1 BATT (unknown type)
350,3709,Lee Canyon 1 RAIN (Rain)
351,3832,Rainbow Canyon BATT (unknown type)
352,3834,Rainbow Canyon RAIN (Rain)
353,3842,Harris Springs 2 BATT (unknown type)
354,3844,Harris Springs 2 RAIN (Rain)
355,3849,Harris Springs 1 WD (Wind Direction)
356,3850,Harris Springs 1 PK WND (Peak Wind)
357,3851,Harris Springs 1 SPD (Wind Speed)
358,3852,Harris Springs 1 DPT (Dewpoint)
359,3853,Harris Springs 1 BATT (unknown type)
360,3854,Harris Springs 1 RAIN (Rain)
361,3855,Harris Springs 1 RH (Rel. Humidity)
362,3856,Harris Springs 1 TEMP (Air Temp)
363,3862,Harris Springs 3 BATT (unknown type)
364,3864,Harris Springs 3 RAIN (Rain)
365,3909,Grapevine Springs 2 WD (Wind Direction)
366,3910,Grapevine Springs 2 PK WND (Peak Wind)
367,3911,Grapevine Springs 2 SPD (Wind Speed)
368,3912,Grapevine Springs 2 DPT (Dewpoint)
369,3913,Grapevine Springs 2 BATT (unknown type)
370,3914,Grapevine Springs 2 RAIN (Rain)
371,3915,Grapevine Springs 2 RH (Rel. Humidity)
372,3916,Grapevine Springs 2 TEMP (Air Temp)
373,3922,Yucca Forest 1 BATT (unknown type)
374,3924,Yucca Forest 1 RAIN (Rain)
375,3927,Grapevine Springs 1 BATT (unknown type)
376,3929,Grapevine Springs 1 RAIN (Rain)
377,3930,Yucca Forest 2 WD (Wind Direction)
378,3931,Yucca Forest 2 SPD (Wind Speed)
379,3932,Yucca Forest 2 DPT (Dewpoint)
380,3933,Yucca Forest 2 BATT (unknown type)
381,3934,Yucca Forest 2 RAIN (Rain)
382,3935,Yucca Forest 2 RH (Rel. Humidity)
383,3936,Yucca Forest 2 TEMP (Air Temp)
384,3937,Yucca Forest 2 PK WND (Peak Wind)
385,3947,Corn Creek NW BATT (unknown type)
386,3948,Tule Springs NW WD (Wind Direction)
387,3949,Corn Creek NW RAIN (Rain)
388,3950,Tule Springs NW PK WND (Peak Wind)
389,3951,Tule Springs NW SPD (Wind Speed)
390,3952,Tule Springs NW DPT (Dewpoint)
391,3953,Tule Springs NW BATT (unknown type)
392,3954,Tule Springs NW RAIN (Rain)
393,3955,Tule Springs NW RH (Rel. Humidity)
394,3956,Tule Springs NW TEMP (Air Temp)
395,4002,Las Vegas Wash at Nellis BATT (unknown type)
396,4003,Las Vegas Wash at Nellis WL (Water Level)
397,4004,Las Vegas Wash at Nellis RAIN (Rain)
398,4007,Floyd Lamb North EEA BATT (unknown type)
399,4008,Floyd Lamb North EEA WL (Water Level)
400,4009,Floyd Lamb North EEA RAIN (Rain)
401,4010,Fossil Ridge WD (Wind Direction)
402,4011,Fossil Ridge SPD (Wind Speed)
403,4012,Fossil Ridge DPT (Dewpoint)
404,4014,Fossil Ridge RAIN (Rain)
405,4015,Fossil Ridge RH (Rel. Humidity)
406,4016,Fossil Ridge TEMP (Air Temp)
407,4017,Floyd Lamb South EEA BATT (unknown type)
408,4018,Floyd Lamb South EEA WL (Water Level)
409,4019,Floyd Lamb South EEA RAIN (Rain)
410,4022,Upper Las Vegas Wash DB BATT (unknown type)
411,4023,Upper Las Vegas Wash DB WL (Water Level)
412,4024,Upper Las Vegas Wash DB RAIN (Rain)
413,4028,Kyle Canyon DB WL (Water Level)
414,4029,Kyle Canyon DB RAIN (Rain)
415,4030,North Valley 1 WD (Wind Direction)
416,4031,North Valley 1 SPD (Wind Speed)
417,4032,North Valley 1 DPT (Dewpoint)
418,4034,North Valley 1 RAIN (Rain)
419,4035,North Valley 1 RH (Rel. Humidity)
420,4036,North Valley 1 TEMP (Air Temp)
421,4039,North Valley 2 RAIN (Rain)
422,4044,Castle Rock RAIN (Rain)
423,4047,Floyd Lamb City Park BATT (unknown type)
424,4049,Floyd Lamb City Park RAIN (Rain)
425,4054,Lone Mtn at Hualapai RAIN (Rain)
426,4057,Gowan Outfall Channel BATT (unknown type)
427,4058,Gowan Outfall Channel WL (Water Level)
428,4059,Gowan Outfall Channel RAIN (Rain)
429,4062,Lower Las Vegas Wash DB BATT (unknown type)
430,4063,Lower Las Vegas Wash DB WL (Water Level)
431,4064,Lower Las Vegas Wash DB RAIN (Rain)
432,4068,Las Vegas Wash at Craig Rd WL (Water Level)
433,4069,Las Vegas Wash at Craig Rd RAIN (Rain)
434,4072,Las Vegas Wash at Lake Mead BATT (unknown type)
435,4073,Las Vegas Wash at Lake Mead WL (Water Level)
436,4074,Las Vegas Wash at Lake Mead RAIN (Rain)
437,4078,Western Tributary of Las Vegas Wash WL (Water Level)
438,4079,Western Tributary of Las Vegas Wash RAIN (Rain)
439,4082,Las Vegas Wash above Flamingo Wash confluence BATT (unknown type)
440,4083,Las Vegas Wash above Flamingo Wash confluence WL (Water Level)
441,4084,Las Vegas Wash above Flamingo Wash confluence RAIN (Rain)
442,4087,Las Vegas Wash below Vegas Valley Dr. (USGS) WL (Lower Orifice) (Water Level)
443,4088,Las Vegas Wash below Vegas Valley Dr. (USGS) WL (Upper Orifice) (Water Level)
444,4089,Las Vegas Wash below Vegas Valley Dr. (USGS) RAIN (Rain)
445,4094,Las Vegas Wash at 3-Kids Wash RAIN (Rain)
446,4097,Rainbow Garden Weir BATT (unknown type)
447,4098,Rainbow Garden Weir WL (Water Level)
448,4099,Rainbow Garden Weir RAIN (Rain)
449,4100,Nellis AFB North WD (Wind Direction)
450,4101,Nellis AFB North SPD (Wind Speed)
451,4102,Nellis AFB North DPT (Dewpoint)
452,4104,Nellis AFB North RAIN (Rain)
453,4105,Nellis AFB North RH (Rel. Humidity)
454,4106,Nellis AFB North TEMP (Air Temp)
455,4107,Nellis AFB South BATT (unknown type)
456,4109,Nellis AFB South RAIN (Rain)
457,4113,Sloan Channel at Las Vegas Blvd WL (Water Level)
458,4114,Sloan Channel at Las Vegas Blvd RAIN (Rain)
459,4118,Vandenberg DB WL (Water Level)
460,4119,Vandenberg DB RAIN (Rain)
461,4124,West Range Wash 1 RAIN (Rain)
462,4134,West Range Wash 2 RAIN (Rain)
463,4139,Apex WD (Wind Direction)
464,4140,Apex PK WND (Peak Wind)
465,4141,Apex SPD (Wind Speed)
466,4142,Apex DPT (Dewpoint)
467,4143,Apex BATT (unknown type)
468,4144,Apex RAIN (Rain)
469,4145,Apex RH (Rel. Humidity)
470,4146,Apex TEMP (Air Temp)
471,4153,Confluence DB WL (Water Level)
472,4154,Confluence DB RAIN (Rain)
473,4172,Sloan Channel at Charleston (USGS) Radar WL (Water Level)
474,4173,Sloan Channel at Charleston (USGS) Bubbler WL (Water Level)
475,4174,Sloan Channel at Charleston (USGS) RAIN (Rain)
476,4176,Sunrise Landfill 2 WD (Wind Direction)
477,4177,Orchard DB BATT (unknown type)
478,4178,Orchard DB WL (Water Level)
479,4179,Orchard DB RAIN (Rain)
480,4180,Sunrise Landfill 2 PK WND (Peak Wind)
481,4181,Sunrise Landfill 2 SPD (Wind Speed)
482,4182,Sunrise Landfill 2 DPT (Dewpoint)
483,4183,Sunrise Landfill 2 BATT (unknown type)
484,4184,Sunrise Landfill 2 RAIN (Rain)
485,4185,Sunrise Landfill 2 RH (Rel. Humidity)
486,4186,Sunrise Landfill 2 TEMP (Air Temp)
487,4187,Sunrise Landfill 1 BATT (unknown type)
488,4189,Sunrise Landfill 1 RAIN (Rain)
489,4196,Sloan Channel below Sahara BATT (unknown type)
490,4197,Summerlin West WD (Wind Direction)
491,4198,Sloan Channel below Sahara WL (Water Level)
492,4199,Sloan Channel below Sahara RAIN (Rain)
493,4200,Summerlin West PK WND (Peak Wind)
494,4201,Summerlin West SPD (Wind Speed)
495,4202,Summerlin West DPT (Dewpoint)
496,4203,Summerlin West BATT (unknown type)
497,4204,Summerlin West RAIN (Rain)
498,4205,Summerlin West RH (Rel. Humidity)
499,4206,Summerlin West TEMP (Air Temp)
500,4207,Summerlin NW BATT (unknown type)
501,4209,Summerlin NW RAIN (Rain)
502,4212,Summerlin Pkwy BATT (unknown type)
503,4214,Summerlin Pkwy RAIN (Rain)
504,4218,Angel Park DB WL (Water Level)
505,4219,Angel Park DB RAIN (Rain)
506,4220,Angel Park West WD (Wind Direction)
507,4221,Angel Park West SPD (Wind Speed)
508,4222,Angel Park West DPT (Dewpoint)
509,4224,Angel Park West RAIN (Rain)
510,4225,Angel Park West RH (Rel. Humidity)
511,4226,Angel Park West TEMP (Air Temp)
512,4227,Charleston at Rampart BATT (unknown type)
513,4229,Charleston at Rampart RAIN (Rain)
514,4232,Smoke Ranch at Buffalo BATT (unknown type)
